"SourceFile","identifiant","type_formation","filiere","date_diplome","emploi_formation","satisfaction_formation","alternance","recommandation_polytech","ig_avantage_double_competence","remuneration_annuelle_brute","prime","remuneration_prime"
"1","1888404484035290","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"",4,"","Oui","",NA,"",NA
"1","1889049454965750","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"oui",4,"","","",NA,"Non",NA
"1","1889049477373780","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"oui",3,"","Oui","",NA,"Oui",NA
"1","1767911677127430","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"oui",4,"","Oui","",56000,"Oui",61000
"1","1782333055995110","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"",5,"","Oui","",NA,"",NA
"1","1788524684447960","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"oui",4,"","Oui","",26840,"Oui",27874
"1","1875413937800860","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"oui",4,"","Oui","",NA,"Non",NA
"1","1788522931505030","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"oui",4,"","","",30000,"Oui",30000
"1","1776094903038990","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"",4,"","Oui","",NA,"",NA
"1","1793784763902670","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"oui",4,"","Oui","",18000,"Non",18000
"1","1783551669029900","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"oui",4,"","Oui","",NA,"",NA
"1","1788414814359190","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"",2,"","Non","",NA,"",NA
"1","1767833242749510","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"oui",4,"","Oui","",26400,"Oui",28600
"1","1776629965327550","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"oui",4,"","Oui","",25500,"Oui",26500
"1","1789022971236640","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"oui",3,"","Non","",30000,"Non",30000
"1","1798711447134060","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"oui",3,"","Oui","",24612,"Non",24612
"1","1794779475018530","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"oui",NA,"","","",NA,"Oui",NA
"1","1882920793866040","Sous contrat d'apprentissage","Eau et Génie Civil (EGC - apprentissage)",2017,"oui",4,"","Oui","",33000,"Oui",36000
"1","1793838395539780","Sous contrat d'apprentissage","Eau et Génie Civil (EGC - apprentissage)",2017,"",3,"","Non","",NA,"",NA
"1","1767833231783100","Sous contrat d'apprentissage","Eau et Génie Civil (EGC - apprentissage)",2017,"oui",4,"","Oui","",34380,"Oui",38000
"1","1783551662142720","Sous contrat d'apprentissage","Eau et Génie Civil (EGC - apprentissage)",2017,"",4,"","Oui","",NA,"",NA
"1","1788410788041650","Sous contrat d'apprentissage","Eau et Génie Civil (EGC - apprentissage)",2017,"oui",4,"","Oui","",30000,"Non",30000
"1","1783429148215880","Sous contrat d'apprentissage","Eau et Génie Civil (EGC - apprentissage)",2017,"oui",4,"","Oui","",37000,"Non",37000
"1","1788522924813040","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2017,"oui",5,"","","",26400,"Oui",28600
"1","1782333639834270","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2017,"",4,"","Oui","",NA,"",NA
"1","1775569932483610","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2017,"oui",1,"","Non","",66000,"Oui",75000
"1","1782462668826500","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2017,"oui",3,"","Oui","",28000,"Oui",33500
"1","1767827769134300","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2017,"oui",4,"","Oui","",24000,"Non",24000
"1","1789246012863790","Sous contrat de professionalisation","Génie Biologique et Agroalimentaires (GBA)",2017,"",4,"non","Oui","",NA,"",NA
"1","1788516821411240","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2017,"",4,"non","Oui","",NA,"",NA
"1","1776615827637770","Sous contrat de professionalisation","Génie Biologique et Agroalimentaires (GBA)",2017,"",4,"non","Oui","",NA,"",NA
"1","1798529029776330","Sous contrat d'apprentissage","Mécanique Structures Industrielles (MSI - apprentissage)",2017,"",4,"Oui","Oui","",NA,"",NA
"1","1788414700944440","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2017,"",4,"","Oui","",NA,"",NA
"1","1782332213856140","Sous contrat de professionalisation","Génie Biologique et Agroalimentaires (GBA)",2017,"oui",5,"","Oui","",34560,"Oui",35000
"1","1789142416248660","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2017,"oui",4,"","Oui","",19860,"Oui",21550
"1","1783483879051640","Sous contrat de professionalisation","Génie Biologique et Agroalimentaires (GBA)",2017,"non",4,"","Oui","",40000,"Oui",40000
"1","1776626247486660","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2017,"oui",4,"","Oui","",22000,"Oui",22000
"1","1883067313533930","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2017,"oui",4,"","Oui","",28200,"Oui",30550
"1","1789023084728820","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2017,"",5,"non","Oui","",NA,"",NA
"1","1782592364663810","Sous contrat de professionalisation","Génie Biologique et Agroalimentaires (GBA)",2017,"oui",4,"","Oui","",28200,"Oui",30550
"1","1782332086092190","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2017,"oui",4,"","Oui","",NA,"",NA
"1","1775640685813790","Sous contrat de professionalisation","Génie Biologique et Agroalimentaires (GBA)",2017,"non",4,"","Oui","",36000,"Oui",38160
"1","1782977170103270","Formation initiale (hors apprentissage)","Génie Biologique et Agroalimentaires (GBA)",2017,"oui",4,"","","",25200,"Oui",31700
"1","1767833412260590","Formation initiale (hors apprentissage)","Mécanique et Interactions (MI)",2017,"non",5,"","Oui","",NA,"Oui",NA
"1","1758523132419240","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"oui",4,"","Oui","",31000,"Oui",32000
"1","1794332569537410","Sous contrat de professionalisation","Mécanique et Interactions (MI)",2017,"",NA,"","","",NA,"",NA
"1","1782661106976820","Formation initiale (hors apprentissage)","Mécanique et Interactions (MI)",2017,"oui",4,"","Oui","",32500,"Non",32500
"1","1742932406541910","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2017,"oui",5,"","Oui","",36000,"Oui",36000
"1","1889743523247860","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2017,"",4,"","Oui","",NA,"",NA
"1","1788746977637810","Formation initiale (hors apprentissage)","Matériaux (MAT)",2017,"oui",4,"","Oui","",84000,"Non",84000
"1","1794190718918920","Formation initiale (hors apprentissage)","Sciences et Technologies de l'Eau (STE)",2017,"non",4,"","Oui","",31000,"Oui",35000
"1","1876502131424770","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2017,"oui",4,"","Oui","",31000,"Non",31000
"1","1767641909135970","Sous contrat d'apprentissage","Mécanique Structures Industrielles (MSI - apprentissage)",2017,"",5,"Oui","Oui","",NA,"",NA
"1","1789583114713810","Formation initiale (hors apprentissage)","Microélectronique Et Automatique (MEA)",2017,"",3,"","Oui","",NA,"",NA
